Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
24,UBA3,Tom Kohler-Cadmore,England,,27,BATSMAN,RHB,-,,,,Uncapped,40,,,UnSold
24,UBA3,Priyank Panchal,India,GUCA,32,BATSMAN,RHB,-,,,,Uncapped,20,,,UnSold
24,UBA3,Sameer Rizvi,India,UPCA,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
24,UBA3,Ritwik Roy Chowdhury,India,CAB,26,BATSMAN,RHB,-,,,,Uncapped,20,,,UnSold
24,UBA3,Apoorv Wankhade,India,VCA,30,BATSMAN,RHB,RIGHT ARM Medium,0,"MI, KKR",,Uncapped,20,,,UnSold
25,UAL3,Atharva Ankolekar,India,MCA,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
25,UAL3,B. Sai Sudharsan,India,TNCA,20,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,20 L,Gujarat Titans,Sold
25,UAL3,Atharva Taide,India,VCA,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,20 L,Punjab Kings,Sold
25,UAL3,Tanay Thyagarajan,India,HYCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
26,UWK2,Ankush Bains,India,HPCA,26,WICKETKEEPER,RHB,-,0,"RPS, DC",,Uncapped,20,,,UnSold
26,UWK2,Prashant Chopra,India,HPCA,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,2,RR,,Uncapped,20,,,UnSold
26,UWK2,Kedar Devdhar,India,BCA,32,WICKETKEEPER,RHB,-,1,DCH,,Uncapped,20,,,UnSold
26,UWK2,Shreevats Goswami,India,CAB,32,WICKETKEEPER,LHB,-,31,"RCB, KKR, RR, SRH",SRH,Uncapped,20,,,UnSold
26,UWK2,Akshdeep Nath,India,UPCA,28,WICKETKEEPER,RHB,-,14,"GL, KXIP, RCB",,Uncapped,20,,,UnSold
26,UWK2,Aditya Tare,India,MCA,34,WICKETKEEPER,RHB,-,35,"SRH,DD, MI",MI,Uncapped,20,,,UnSold
26,UWK2,Upendra Singh Yadav,India,RSPB,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
27,UFA3,Ben Dwarshuis,Australia,,27,BOWLER,LHB,LEFT ARM Fast,0,"KXIP, DC",,Uncapped,30,,,UnSold
27,UFA3,Pankaj Jaswal,India,HPCA,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,MI,,Uncapped,20,,,UnSold
27,UFA3,Lukman Hussain Meriwala,India,BCA,30,BOWLER,LHB,LEFT ARM Fast Medium,1,DC,DC,Uncapped,20,,,UnSold
27,UFA3,Vyshak Vijay Kumar,India,KSCA,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
28,USP2,Zeeshan Ansari,India,UPCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
28,USP2,Yuvraj Chudasama,India,SCA,26,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
28,USP2,Dharmendrasinh Jadeja,India,SCA,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
28,USP2,Khrievitso Kense,India,NCA,18,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
28,USP2,Prince Balwant Rai,India,PCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,MI,,Uncapped,20,,,UnSold
28,USP2,Pardeep Sahu,India,MCA,36,BOWLER,RHB,RIGHT ARM Leg Spin,5,"RR, KXIP",,Uncapped,20,,,UnSold
28,USP2,Jalaj Saxena,India,KCA,35,BOWLER,RHB,RIGHT ARM Off Spin,1,"MI, RCB, DC,PBKS",PBKS,Uncapped,30,,,UnSold
28,USP2,Midhun Sudhesan,India,KCA,27,BOWLER,RHB,RIGHT ARM Leg Spin,1,RR,,Uncapped,20,,,UnSold
29,BA4,Martin Guptill,New Zealand,,35,BATSMAN,RHB,-,13,"MI,KXIP,SRH",,Capped,75,,,UnSold
29,BA4,Usman Khawaja,Australia,,35,BATSMAN,LHB,RIGHT ARM Off Spin,6,RPS,,Capped,150,,,UnSold
29,BA4,Brandon King,West Indies,,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
29,BA4,Janneman Malan,South Africa,,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
29,BA4,Bhanuka Rajapaksa,Sri Lanka,,30,BATSMAN,LHB,-,,,,Capped,50,50 L,Punjab Kings,Sold
29,BA4,Rilee Rossouw,South Africa,,32,BATSMAN,LHB,RIGHT ARM Off Spin,5,RCB,,Capped,100,,,UnSold
29,BA4,Paul Stirling,Ireland,,31,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
29,BA4,Hanuma Vihari,India,HYCA,28,BATSMAN,RHB,RIGHT ARM Off Spin,24,"SRH, DC",,Capped,50,,,UnSold
29,BA4,James Vince,England,,31,BATSMAN,RHB,-,,,,Capped,200,,,UnSold
29,BA4,Hazratullah Zazai,Afghanistan,,24,BATSMAN,LHB,-,,,,Capped,50,,,UnSold
30,AL4,Roston Chase,West Indies,,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Capped,100,,,UnSold
30,AL4,Ben Cutting,Australia,,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,21,"RR, SRH, MI, KKR",KKR,Capped,75,,,UnSold
30,AL4,Lewis Gregory,England,,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,150,,,UnSold
30,AL4,Moises Henriques,Australia,,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,62,"KKR, DD, RCB, SRH, PBKS",PBKS,Capped,100,,,UnSold
30,AL4,Akeal Hosein,West Indies,,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,50,,,UnSold
30,AL4,Karim Janat,Afghanistan,,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
30,AL4,Scott Kuggeleijn,New Zealand,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,2,"CSK, RCB",RCB,Capped,75,,,UnSold
30,AL4,Pawan Negi,India,DDCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,50,"CSK, DD, RCB, KKR",KKR,Capped,50,,,UnSold
31,FA4,Taskin Ahmed,Bangladesh,,27,BOWLER,LHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
31,FA4,Marchant De Lange,South Africa,,31,BOWLER,RHB,RIGHT ARM Fast,5,"KKR, MI",,Capped,200,,,UnSold
31,FA4,Dhawal Kulkarni,India,MCA,33,BOWLER,RHB,RIGHT ARM Fast Medium,92,"GL, RR, MI",MI,Capped,75,,,UnSold
31,FA4,Saqib Mahmood,England,,25,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,200,,,UnSold
31,FA4,Kane Richardson,Australia,,31,BOWLER,RHB,RIGHT ARM Fast Medium,15,"PWI, RR, RCB",RCB,Capped,150,,,UnSold
31,FA4,Naveen Ul Haq,Afghanistan,,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
32,UBA4,Harpreet Bhatia,India,CSCSCA,30,BATSMAN,LHB,RIGHT ARM Medium,4,"KKR, PWI, RCB",,Uncapped,40,,,UnSold
32,UBA4,Sudip Chatterjee,India,CAB,30,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
32,UBA4,Hiten Dalal,India,DDCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
32,UBA4,Abhimanyu Easwaran,India,CAB,26,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
32,UBA4,Laurie Evans,England,,34,BATSMAN,RHB,-,,,,Uncapped,40,,,UnSold
32,UBA4,Rahul Gahlaut,India,SSCB,26,BATSMAN,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
32,UBA4,Amandeep Khare,India,CSCSCA,24,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
32,UBA4,Mayank Rawat,India,DDCA,22,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
32,UBA4,Dhruv Shorey,India,DDCA,29,BATSMAN,RHB,RIGHT ARM Off Spin,2,CSK,,Uncapped,20,,,UnSold
33,UAL4,Hayden Kerr,Australia,,25,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
33,UAL4,Saurabh Kumar,India,UPCA,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,"RPS, PBKS",,Uncapped,20,,,UnSold
33,UAL4,Shams Mulani,India,MCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
33,UAL4,Dhruv Patel,India,BCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
33,UAL4,Atit Sheth,India,BCA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
33,UAL4,Utkarsh Singh,India,JSCA,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,PBKS,,Uncapped,20,,,UnSold
33,UAL4,David Wiese,Namibia,,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,15,RCB,,Associate,50,,,UnSold
34,UWK3,Kaif Ahmad,India,CAB,24,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
34,UWK3,Shubhum Arora,India,HPCA,24,WICKETKEEPER,LHB,-,,,,Uncapped,20,,,UnSold
34,UWK3,Arun Karthick,India,TNCA,36,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,17,"CSK, RCB",,Uncapped,40,,,UnSold
34,UWK3,Eknath Kerkar,India,GCA,28,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
34,UWK3,Kennar Lewis,West Indies,,30,WICKETKEEPER,RHB,-,,,,Uncapped,40,,,UnSold
34,UWK3,Nikhil Naik,India,MACA,27,WICKETKEEPER,RHB,-,4,"KXIP, KKR",,Uncapped,20,,,UnSold
34,UWK3,Urvil Patel,India,GUCA,23,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
34,UWK3,B.R. Sharath,India,KSCA,25,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
34,UWK3,K.L. Shrijith,India,KSCA,25,WICKETKEEPER,LHB,-,,,,Uncapped,20,,,UnSold
35,UFA4,Mohit Avasthi,India,MCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
35,UFA4,Sushant Mishra,India,JSCA,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
35,UFA4,Matheesha Pathirana,Sri Lanka,,19,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
35,UFA4,G Periyasamy,India,TNCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
35,UFA4,M.Harishankar Reddy,India,ACA,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
35,UFA4,R. Silambarasan,India,TNCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
