Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
43,UFA5,Babasafi Pathan,India,BCA,27,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
43,UFA5,Vidyadhar Patil,India,KSCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
43,UFA5,Mukesh Kumar Singh,India,CAB,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
44,USP4,R. Alexandar,India,TNCA,26,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
44,USP4,Adithya Ashok,New Zealand,,19,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
44,USP4,Jasmer Dhankhar,India,UPCA,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
44,USP4,Prerit Dutta,India,PCA,23,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
44,USP4,Jon Russ Jaggesar,West Indies,,36,BOWLER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
44,USP4,S. Kishan Kumar,India,TNCA,22,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
44,USP4,Kevin Koththigoda,Sri Lanka,,23,BOWLER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
44,USP4,Swaraj Wabale,India,MACA,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
45,AL6,Curtis Campher,Ireland,,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
45,AL6,Colin De Grandhomme,New Zealand,,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,25,"KKR, RCB",,Capped,100,,,UnSold
45,AL6,James Faulkner,Australia,,31,ALL-ROUNDER,RHB,LEFT ARM Medium,60,"PWI, KXIP, RR, GL",,Capped,100,,,UnSold
45,AL6,Craig Overton,England,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,200,,,UnSold
45,AL6,Wayne Parnell,South Africa,,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,26,"PWI, DD",,Capped,50,,,UnSold
45,AL6,Samit Patel,England,,37,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Capped,50,,,UnSold
45,AL6,Thisara Perera,Sri Lanka,,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,37,"CSK, KTK, MI, SRH, KXIP, RPS",,Capped,50,,,UnSold
45,AL6,Darcy Short,Australia,,31,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,7,RR,,Capped,100,,,UnSold
45,AL6,Murali Vijay,India,TNCA,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,106,"DD, KXIP, CSK",,Capped,50,,,UnSold
45,AL6,Jack Wildermuth,Australia,,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
46,FA6,Hamish Bennett,New Zealand,,35,BOWLER,LHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
46,FA6,Daryn Dupavillon,South Africa,,27,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
46,FA6,Fidel Edwards,West Indies,,40,BOWLER,RHB,RIGHT ARM Fast,6,DCH,,Capped,50,,,UnSold
46,FA6,Hamid Hassan,Afghanistan,,34,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
46,FA6,Lahiru Kumara,Sri Lanka,,25,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
46,FA6,Joel Paris,Australia,,29,BOWLER,LHB,LEFT ARM Fast Medium,,,,Capped,50,,,UnSold
46,FA6,S. Sreesanth,India,KCA,39,BOWLER,RHB,RIGHT ARM Fast Medium,44,"KXIP, KTK, RR",,Capped,50,,,UnSold
46,FA6,Oshane Thomas,West Indies,,25,BOWLER,LHB,RIGHT ARM Fast,4,RR,,Capped,50,,,UnSold
46,FA6,Blair Tickner,New Zealand,,28,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
46,FA6,Isuru Udana,Sri Lanka,,34,BOWLER,RHB,LEFT ARM Fast Medium,10,RCB,,Capped,50,,,UnSold
47,UBA6,Donavon Ferreira,South Africa,,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
47,UBA6,Bhupen Lalwani,India,MCA,23,BATSMAN,RHB,-,,,,Uncapped,20,,,UnSold
47,UBA6,Henan Malik,India,JKCA,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
47,UBA6,Pukhraj Mann,India,PCA,20,BATSMAN,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
47,UBA6,Shashwat Rawat,India,BCA,21,BATSMAN,LHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
47,UBA6,Jake Weatherald,Australia,,27,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
48,UAL6,Gerald Coetzee,South Africa,,21,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
48,UAL6,Akshay Karnewar,India,VCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
48,UAL6,Sumit Kumar,India,HCA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
48,UAL6,Abid Mushtaq,India,JKCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
48,UAL6,Lone Muzaffar,India,JKCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
48,UAL6,Ninad Rathva,India,BCA,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
48,UAL6,Shoun Roger,India,KCA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
49,UFA6,Jaideep Bhambhu,India,HCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
49,UFA6,Nandre Burger,South Africa,,26,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,20,,,UnSold
49,UFA6,Matt Kelly,Australia,,27,BOWLER,RHB,RIGHT ARM Fast Medium,0,KKR,,Uncapped,30,,,UnSold
49,UFA6,V Koushik,India,KSCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
49,UFA6,Akash Madhwal,India,CAU,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
49,UFA6,Amit Mishra,India,UPCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,"RR, GL",,Uncapped,20,,,UnSold
49,UFA6,Anuj Raj,India,BICA,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
49,UFA6,Abhijeet Saket,India,BICA,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
49,UFA6,Rahul Shukla,India,JSCA,31,BOWLER,RHB,RIGHT ARM Fast,7,"MI, RR, DD",,Uncapped,20,,,UnSold
49,UFA6,Nuwan Thushara,Sri Lanka,,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
50,AL7,Mark Adnair,Ireland,,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
50,AL7,Hilton Cartwright,Australia,,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,50,,,UnSold
50,AL7,Gareth Delany,Ireland,,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Capped,50,,,UnSold
50,AL7,Danushka Gunatilaka,Sri Lanka,,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Capped,50,,,UnSold
50,AL7,Anaru Kitchen,New Zealand,,38,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Capped,50,,,UnSold
50,AL7,Dhananjaya Lakshan,Sri Lanka,,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
50,AL7,Sisanda Magala,South Africa,,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,50,,,UnSold
50,AL7,Andile Phehlukwayo,South Africa,,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Capped,50,,,UnSold
50,AL7,Seekkuge Prasanna,Sri Lanka,,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Capped,50,,,UnSold
50,AL7,Raymon Reifer,West Indies,,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,Capped,50,,,UnSold
51,UAL7,Amit Ali,India,TCA,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
51,UAL7,Chaitanya Bishnoi,India,HCA,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,CSK,,Uncapped,20,,,UnSold
51,UAL7,Mayank Dagar,India,HPCA,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,KXIP,,Uncapped,20,,,UnSold
51,UAL7,Migael Pretorius,South Africa,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
51,UAL7,Shivam Sharma,India,DDCA,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,5,KXIP,,Uncapped,20,,,UnSold
51,UAL7,Pratyush Singh,India,BICA,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,"CSK, DD",,Uncapped,20,,,UnSold
51,UAL7,Sanvir Singh,India,PCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
51,UAL7,Dhrushant Soni,India,RSPB,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
51,UAL7,M Venkatesh,India,KSCA,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
52,UFA7,Bandaru Ayyappa,India,ACA,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,DC,,Uncapped,20,,,UnSold
52,UFA7,Gurnoor Singh Brar,India,PCA,21,BOWLER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
52,UFA7,Akash Choudhary,India,MECA,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
52,UFA7,Mohit Jangra,India,UPCA,22,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
52,UFA7,Aaqib Khan,India,UPCA,18,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
52,UFA7,Ruben Trumpelmann,Namibia,,24,BOWLER,RHB,LEFT ARM Fast,,,,Associate,20,,,UnSold
52,UFA7,Brad Wheal,Scotland,,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Associate,50,,,UnSold
53,UAL8,Auqib Dar,India,JKCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
53,UAL8,Chirag Gandhi,India,GUCA,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
53,UAL8,Chris Green,Australia,,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,KKR,,Uncapped,40,,,UnSold
53,UAL8,Sijomon Joseph,India,KCA,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
53,UAL8,Anirudha Joshi,India,KSCA,34,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,"RCB, RR, DC",DC,Uncapped,20,,,UnSold
53,UAL8,Mohd. Arshad Khan,India,MPCA,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,Uncapped,20,20 L,Mumbai Indians,Sold
53,UAL8,Shubham Sharma,India,RCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
53,UAL8,Shubham Singh,India,CSCSCA,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
53,UAL8,K.Bhagath Varma,India,HYCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,CSK,CSK,Uncapped,20,20 L,Chennai Super Kings,Sold
54,UFA8,Arpit Guleria,India,HPCA,24,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
54,UFA8,Vipul Krishna,India,BICA,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
54,UFA8,Safvan Patel,India,BCA,23,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
54,UFA8,Chinntla Readdi,India,HYCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
54,UFA8,Manish Reddy,India,HYCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
54,UFA8,Ravi Sharma,India,RCA,25,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
54,UFA8,Shubham Singh,India,JSCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
55,UAL9,Corbin Bosch,South Africa,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
55,UAL9,Nathan McAndrew,Australia,,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
55,UAL9,Diwesh Pathania,India,SSCB,32,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,20,,,UnSold
55,UAL9,Shubham Ranjane,India,GCA,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,RR,,Uncapped,20,,,UnSold
55,UAL9,Tom Rogers,Australia,,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
55,UAL9,Johannes Smit,Namibia,,26,ALL-ROUNDER,RHB,LEFT ARM Medium,,,,Associate,20,,,UnSold
55,UAL9,Sagar Trivedi,India,CAP,30,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,RR,,Uncapped,20,,,UnSold
55,UAL9,Harsh Tyagi,India,RSPB,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
55,UAL9,R. Vivek,India,TNCA,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
55,UAL9,R.Sonu Yadav,India,TNCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
56,UFA9,V. Athisayaraj,India,TNCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
56,UFA9,Ottneil Baartman,South Africa,,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
56,UFA9,M.B. Darshan,India,KSCA,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
56,UFA9,V. Gowtham,India,TNCA,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
56,UFA9,Khwezi Gumede,South Africa,,22,BOWLER,RHB,LEFT ARM Fast,,,,Uncapped,20,,,UnSold
56,UFA9,Liam Guthrie,Australia,,24,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,20,,,UnSold
56,UFA9,Liam Hatcher,Australia,,25,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
57,UAL10,Jay Bista,India,CAU,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
57,UAL10,Saurav Chuahan,India,GUCA,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
57,UAL10,Tajinder Dhillon,India,RCA,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,"MI, KXIP",,Uncapped,20,,,UnSold
57,UAL10,Dikshanshu Negi,India,CAU,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
57,UAL10,Abhishek Raut,India,OCA,35,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,22,RR,,Uncapped,20,,,UnSold
57,UAL10,K.V. Sasikanth,India,ACA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
57,UAL10,Bharat Sharma,India,CAP,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
57,UAL10,Shivam Sharma,India,UPCA,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,5,KXIP,,Uncapped,20,,,UnSold
57,UAL10,Amit Yadav,India,GCA,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,KXIP,,Uncapped,20,,,UnSold
58,UAL11,Manoj Bhandage,India,KSCA,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
58,UAL11,Arun Chaprana,India,HCA,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,20,,,UnSold
58,UAL11,Ajay Dev Goud,India,HYCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
58,UAL11,Divyang Hinganekar,India,MACA,28,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
58,UAL11,Azim Kazi,India,MACA,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
58,UAL11,Sujit Nayak,India,MCA,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
58,UAL11,Parth Sahani,India,MPCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
58,UAL11,Ashutosh Sharma,India,MPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
58,UAL11,Vivrant Sharma,India,JKCA,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
58,UAL11,Kumar Kartikeya Singh,India,MPCA,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
59,UAL12,Ravi Chauhan,India,SSCB,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
59,UAL12,Shafiqullah Ghafari,Afghanistan,,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
59,UAL12,M. Mohammed,India,TNCA,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
59,UAL12,Pulkit Narang,India,SSCB,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
59,UAL12,Pradosh Paul,India,TNCA,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
59,UAL12,Pushpendra Singh Rathore,India,RCA,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
59,UAL12,Jason Sangha,Australia,,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
59,UAL12,Purnank Tyagi,India,UPCA,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
59,UAL12,Samarth Vyas,India,SCA,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
60,UAL13,Duan Jansen,South Africa,,21,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,Uncapped,20,,,UnSold
60,UAL13,Dev Lakra,India,DDCA,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
60,UAL13,Ajay Mandal,India,CSCSCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,,Uncapped,20,,,UnSold
60,UAL13,Lakhan Raja,India,BICA,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
60,UAL13,Girinath Reddy,India,ACA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
60,UAL13,Siddhant Sharma,India,DDCA,25,ALL-ROUNDER,LHB,LEFT ARM Medium,,,,Uncapped,20,,,UnSold
60,UAL13,Matthew Short,Australia,,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
60,UAL13,Saurin Thakar,India,BCA,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
60,UAL13,Nyeem Young,West Indies,,21,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,20,,,UnSold
61,UAL14,Yuvraj Chaudhary,India,UTCA,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
61,UAL14,Khizar Dafedar,India,MCA,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Sahil Dhiwan,India,RCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
61,UAL14,Arjit Gupta,India,RCA,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Mickil Jaiswal,India,HYCA,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Ryan John,West Indies,,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
61,UAL14,J. Kousik,India,TNCA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
61,UAL14,Jitender Pal,India,HCA,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Jonty Sidhu,India,DDCA,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Yashovardhan Singh,India,UPCA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
61,UAL14,Beyers Swanepoel,South Africa,,23,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
61,UAL14,Pranshu Vijayran,India,DDCA,26,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
62,UAL15,Ishan Afridi,India,MPCA,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
62,UAL15,Mohammed Afridi,India,HYCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
62,UAL15,Prerit Agrawal,India,VCA,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
62,UAL15,Aidan Cahill,Australia,,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
62,UAL15,Mark Deyal,West Indies,,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
62,UAL15,Nidhish Rajagopal,India,TNCA,22,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,Uncapped,20,,,UnSold
62,UAL15,Bavanaka Sandeep,India,HYCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,SRH,,Uncapped,20,,,UnSold
62,UAL15,Safyaan Sharif,Scotland,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Associate,20,,,UnSold
62,UAL15,Henry Shipley,New Zealand,,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
62,UAL15,Maxwell Swaminathan,India,MCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
62,UAL15,Johan Van Dyk,South Africa,,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
62,UAL15,Dunith Wellalage,Sri Lanka,,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
