Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
MEA2,Andorra,..,..,..,..,..,..,..,80,86,82,86,82,89,91,90,88,90,94,95,95
MEA2,Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26,30,35,45
MEA2,Antigua and Barbuda,..,..,..,..,..,46,68,78,83,94,92,89,90,87,99,84,68,95,95,95
MEA2,Arab World,40.68371588,54.17595807,54.65588869,54.07768243,60.50048854,64.68266655,64.68100058,66.51980256,61.46579239,63.42728342,63.15560137,63.08871247,63.01230519,67.59248986,72.46593037,76.76478534,79.09323957,79.77206679,76.69442537,77.26759529
MEA2,Argentina,56,56,83,80,93,88,91,84,88,96,94,91,89,83,96,87,88,89,99,89
MEA2,Armenia,94,96,95,93,94,92,85,93,94,96,97,98,97,97,97,97,97,97,96,96
MEA2,Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Australia,..,..,..,..,85,85,87,89,80,82,88,90,91,92,93,93,94,93,93,94
MEA2,Austria,35,34,39,46,47,54,61,56,62,64,69,73,78,82,87,88,89,84,84,84
MEA2,Azerbaijan,..,65,67,66,67,67,68,75,79,83,89,92,95,98,98,98,98,97,96,97
MEA2,"Bahamas, The",..,..,..,..,95,88,88,84,80,76,78,79,73,69,72,76,74,76,69,82
MEA2,Bahrain,92,99,97,99,99,99,99,99,97,99,98,98,99,99,99,99,99,99,99,99
MEA2,Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,41,82,89,90,92,93,93,95
MEA2,Barbados,..,12,41,71,99,98,94,96,97,97,96,94,90,89,91,89,87,77,74,77
MEA2,Belarus,92,97,98,98,98,98,95,99,99,99,99,99,97,99,98,99,98,98,98,98
MEA2,Belgium,..,..,..,..,..,..,78,78,81,83,83,83,85,85,85,85,85,85,85,85
MEA2,Belize,..,..,..,..,..,87,92,89,90,92,91,98,93,92,92,95,96,88,91,95
MEA2,Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Bhutan,..,..,..,..,..,..,..,..,72,79,85,95,90,89,92,94,90,99,91,92
MEA2,Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,44
MEA2,Bosnia and Herzegovina,74,86,90,85,88,90,93,95,92,88,91,88,94,93,92,88,78,80,76,76
MEA2,Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,83,85,80,74,74,74,76
MEA2,Brazil,95,95,80,74,68,61,55,49,56,55,53,71,70,69,89,80,77,76,76,54
MEA2,British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Brunei Darussalam,95,95,96,96,97,95,94,92,90,99,93,93,96,92,96,97,97,98,98,98
MEA2,Bulgaria,83,85,79,89,91,92,93,94,94,93,96,94,94,94,89,87,88,92,87,87
MEA2,Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,50,59,65,71,71
MEA2,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,51,60,65,72,75,77,80
MEA2,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,99,94,89,79,95,92,85,88,91
MEA2,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,41,52,62,61,67,72,70,82
MEA2,Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Canada,..,..,..,..,..,..,..,..,..,..,..,..,83,86,86,86,86,87,87,87
MEA2,Caribbean small states,2.148609139,69.62922966,69.80550586,67.41002074,71.62339888,77.89671972,76.03921273,77.29878863,73.83916246,73.54689533,65.07141796,67.4800907,74.24164712,75.54829377,77.44775638,81.39407436,80.76907892,88.03304936,81.11736731,87.85134766
MEA2,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Central Europe and the Baltics,91.44505925,96.13006599,96.23704438,96.80771015,96.34862618,94.35159925,97.66929335,97.3264373,96.73261623,95.63030553,95.27039118,95.04210201,94.86406132,93.71017832,92.90979869,92.03741723,90.21489697,90.00005512,89.80560158,89.05801259
MEA2,Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Chile,..,..,..,..,96,96,95,95,89,89,84,77,74,78,88,89,87,90,93,91
MEA2,China,..,..,..,..,..,84,94,92,95,98,99,99,99,99,99,99,99,99,99,98
MEA2,Colombia,84,83,93,70,70,73,85,93,70,71,74,76,80,72,88,86,87,89,88,88
MEA2,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9
MEA2,Costa Rica,..,..,..,..,..,..,..,..,89,84,79,80,95,92,90,90,87,93,93,93
MEA2,Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEA2,Croatia,..,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,95,95,95
